PS1	90001	100	90500	TXT	
PS2	90010	 50	90400	TXT	
PS3	90011	 40	90520	FP	
PS4	90050	300	91000	FP	
PS5	90065	150	90765	FP	
PS6	90070	500	90170	FP	
PS7	90080	100	91100	TXT	
PS8	90090	150	90690	TXT	
PS9	90167	130	91500	TXT	
PS10	90170	500	93500	FP	
PS11	90172	50	90900	FP	
PS12	90180	105	92190	TXT	
PS13	90190	99	93200	TXT	
PS14	90195	475	91300	FP	
PS15	90200	100	91900	TXT	
PS16	91000	130	93100	FP	
PS17	91001	150	93200	MM	
PS18	91002	350	93800	MM	
PS19	91050	399	93999	MM	
PS20	91100	300	94000	TXT	
PS21	91110	100	91900	MM	
PS22	91215	500	92125	MM	
PS23	91235	150	92500	MM	
PS24	91240	300	92600	FP	
PS25	91320	500	93700	FP	
PS26	91350	700	94500	TXT	
PS27	91630	170	92630	MM	
PS28	91999	119	93999	TXT	
PS29	92001	240	94001	FP	
PS30	92019	191	94900	FP	
PS31	92201	110	94950	FP		
PS32	92299	299	95000	TXT	
PS33	92301	199	95010	FP	
PS34	92319	100	95700	MM	
PS35	93001	200	96000	TXT	
